,Instrument,n,Mean CV (%),IQR
0,Quant 12k Flex #1,236,5.8,1.8–9.2
1,Quant 12k Flex #2,80,7.1,3.0–8.9
2,Bio-Rad CFX96 Touch,34,6.3,1.9–10.7
